Id,Name,Color,Cells,Expansionism,Type,Area mi2,Population,Namesbase,Emblems Shape,Origins
25,Naukin-Ashveld,#21afd6,7258,0.8,Generic,1810410,510559121,NaukinMongolian-Akadian,,"Sylvarirum Greenwoood-Folk"
14,Sunblade Wandrfolk,#b794c4,5010,1.5,Nomadic,1369576,391848150,SunbladeGreek,pavise,""
5,Solarirum Gilt-Born,#bc80bd,6245,4,Generic,1414361,383129405,NaukinMongolian-Akadian,urukHai,""
2,Vethanirum Borderborn,#80b1d3,5672,1.5,Hunting,1575754,267007730,Vethanirum,noldor,""
7,Nordal Frostkin,#fccde5,4254,1.7,Hunting,949004,238952114,NordalRussian,fantasy2,""
10,Bovari Hornlords,#8dd3c7,3143,1.9,Nomadic,732248,202155049,BovariScythian,easterling,""
8,Naukin Warrens,#eb8de7,5606,3.4,Generic,1234287,193241569,NaukinMongolian-Akadian,moriaOrc,""
11,Ashirum Ember Elves,#b3de69,2434,1.3,Generic,569717,151990318,AshirumIcelandic,roman,""
15,Stoneguard Ironbloods,#4a235a,3957,1.5,Generic,899495,139157765,StoneguardToltec,erebor,""
1,Apisdren Mountainkin,#ffed6f,6683,2,Highland,1574443,132992314,ApisdrenBhutan-Askumite,gondor,""
13,Gorirum Oelves,#ccebc5,1889,2.5,Generic,399541,105589093,GorirumPersian-Parthian,horsehead2,""
16,Kreln Deepstones,#e8b44a,3173,2.5,Naval,819934,66904744,KrelnWelsh-Polynesian,fantasy5,""
22,Hearthborn-Sunblades,#4677df,1022,0.8,Generic,265904,40888435,ImperialEngland,,"Kreln Deepstones"
0,Wildlands,,13541,,,3926720,23699007,Generica,round,""
3,Imperial Hearthborns,#fdb462,4561,4.5,Generic,1021192,17105783,ImperialEngland,fantasy5,""
6,Veildrift Hauntborn,#c6b9c1,187,1.5,Nomadic,40891,9425007,VeildriftSlavic-Celtic,hessen,""
20,Verdathi Fens,#5dade2,139,1.6,Naval,45941,5224138,VerdathiAboriginal,round,""
18,Murrak Ashblood,#6aada0,28,1.5,Nomadic,6995,2585601,MurrakTasmanian,moriaOrc,""
19,Arantza Broodborn,#a8d8a8,22,1.9,Hunting,7570,1884613,ArantzaKhoisan-Basque,pavise,""
23,Hearthborn-Bovari,#ff625d,16,0.8,Generic,5368,1015663,ImperialEngland,,"Sylvarirum Greenwoood-Folk"
12,Apiskeld Forge Lords,#dababf,11,1.6,Highland,2648,900669,ApiskeldSumerian,noldor,""
4,Sylvarirum Greenwoood-Folk,#6e40aa,4,1.5,Hunting,1695,391548,SylvarirumNavajo,erebor,""
17,Ashveld Cindershorn,#c47a3a,10,1.3,Highland,3564,117080,AshveldSwahili-Quechua,round,""
24,Bovari-Sunblade,#ff863b,1,0.8,Generic,274,9001,BovariScythian,,"Sylvarirum Greenwoood-Folk"
9,Apisveldr Gem-men,#fb8072,0,1.5,Nomadic,0,0,ApisveldirByzantine-Mughal,fantasy1,""
21,Apisdren-Stoneguards,#b0c4de,0,0.8,Highland,0,0,ApisdrenBhutan-Askumite,fantasy1,""
