APISKELD SUMERIAN - 500 Common Word Translations
Fantasy Language based on ApiskeldSumerian name patterns
Linguistic roots: Classical Sumerian (Ur III period, 2100-2000 BC) primary
with Georgian flavoring (consonant clusters, vowel-final words)
Stylization: Fantasy-leaning, consistent feel prioritized.

KEY SOURCE WORDS (Classical Sumerian, Ur III):
  lu (person/man), munus (woman), dumu (child/son), en (lord), lugal (king),
  kalam (land/country), ki (earth/place), an (sky/heaven), a (water),
  izi/gibil (fire), ud (day/sun), nanna (moon), mul (star), ge (night),
  nig (thing/matter), dug (good/speak), zu (know), tum (bring/take),
  dim (make/create), sum (give), gal (great/big), mah (exalted/great),
  zi (life/true), sig (small/low), nam (fate/essence), ur (dog/warrior),
  igi (eye/face/before), ka (mouth/word), sag (head/first), ub (corner/place),
  du (go/build), gin (go/come), na (stone/advice), sar (write/garden)

KEY SOURCE WORDS (Georgian):
  კაცი/katsi (man), გული/guli (heart), წყალი/tsqali (water), ცეცხლი/tsetskhli (fire),
  მიწა/mitsa (earth), ცა/tsa (sky), დღე/dghe (day), ღამე/ghame (night),
  მთა/mtha (mountain), ტყე/tqe (forest), სახელი/sakheli (name),
  კარგი/kargi (good), დიდი/didi (great/big), პატარა/patara (small),
  სიყვარული/siqvaruli (love), ხელი/kheli (hand), თავი/tavi (head/self)

PHONETIC BRIDGE STRATEGY:
  Sumerian: CV syllable structure (lu, ki, an, ud, mul), ergative suffixes (-e, -ra, -ak)
  Georgian: consonant clusters (kh, gh, ts, dz, ch, tq) + vowel finals
  Bridge: Georgian clusters soften Sumerian's open syllables into richer forms
  Shared: k, g, n, m, z, s sounds; short open vowels a/i/u
  Fantasy suffix system: -ul (noun/being), -aki (place/abstract), -ir (verb),
  -ang (adjective), -um (collective/great), -ezi (diminutive/fine)

===================================================================================
RANK | ENGLISH       | APISKELD                | ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | kiez                    | Sum. ki (the/place marker) + -ez
2    | a / an        | laul                    | Sum. la (a/one) + -ul
3    | to            | suir                    | Sum. su (to/toward) + -ir
6    | it            | bikul                   | Sum. bi (it/this) + -kul
8    | that          | beul                    | Sum. be (that/there) + -ul
10   | it            | bikul                   | same
11   | for           | anakim                  | Sum. ana (for/to) + -kim
14   | this          | naaul                   | Sum. naa (this) + -ul
20   | this          | naaul                   | same
22   | his           | aniel                   | Sum. ani (his/her) + -el
28   | her           | aniel                   | Sum. ani (her — same form)
29   | she           | munum                   | Sum. munus (she/woman) stylized
31   | an            | laul                    | same as a
34   | one           | dikul                   | Sum. dik (one/unique) + -ul
35   | all           | tamum                   | Sum. tam (all/totality) + -um
37   | there         | phaaul                  | Sum. pha (there) + -ul
38   | their         | anieum                  | Sum. anie (their) + -um
39   | what          | anakez                  | Sum. ana (what/for) + -kez
45   | who           | abakez                  | Sum. aba (who/father) + -kez
49   | me            | gaul                    | Sum. ga (me/I) + -ul
50   | when          | enakez                  | Sum. ena (when) + -kez
55   | no            | nulul                   | Sum. nul (no/not) + -ul
63   | your          | zaiel                   | Sum. zai (your) + -el
64   | good          | dugakez                 | Sum. dug (good/speak) + -akez
65   | some          | lahul                   | Sum. la (some/not) + -hul
69   | other         | zanul                   | Sum. zan (other/change) + -ul
83   | two           | minum                   | Sum. min (two) + -um
85   | our           | mezieum                 | Sum. mez (our) + -ieum
95   | these         | naakum                  | Sum. naa (these) + -kum
99   | us            | mezul                   | Sum. mez (us/we) + -ul
120  | got           | tumakim                 | Sum. tum (got/brought) + -akim

--- BEING / EXISTENCE ---
2    | be / is / are | gamir                   | Sum. gam (to be/bow) + -ir
70   | there         | phaaul                  | same as there
72   | seem          | igigir                  | Sum. igi (face/appear) + -gir
