APISVELDIR BYZANTINE-MUGHAL - 500 Common Word Translations
Fantasy Language based on ApisveldirByzantine-Mughal name patterns
Linguistic roots: Byzantine Greek (medieval, 4th-15th c. AD) + broad Mughal
blend of Classical Persian and Sanskrit roots
Stylization: Fantasy-leaning, consistent feel prioritized.

KEY SOURCE WORDS (Byzantine Greek):
  ho/hē (the), eis (one/into), kai (and), ou/mē (not), en (in/at),
  ek (from/out), pros (to/toward), meta (with/after), hypo (under/by),
  einai (to be), ekhein (to have), poiein (to do/make), legein (to say),
  horan (to see), erkhesthai (to come), ienai (to go), eidenai (to know),
  anthrōpos (person), gynē (woman), pais (child), basileus (king),
  gē (earth), pyr (fire), hydōr (water), ouranos (sky), hēmera (day),
  megas (great), kalos (beautiful/good), alēthēs (true), kyrios (lord)

KEY SOURCE WORDS (Persian/Sanskrit Mughal):
  Persian: khub (good), bozorg (great), āb (water), ātash (fire), zamīn (earth),
  āsmān (sky), rōz (day), māh (moon), sitāra (star), rang (color/paint),
  dil (heart), dast (hand), sar (head), khāna (house/place), rāh (road/way),
  dānistan (to know), dīdan (to see), guftan (to say), raftan (to go),
  Sanskrit: jala (water), agni (fire), bhumi (earth), akasha (sky), dina (day),
  chandra (moon), tara (star), hridaya (heart), hasta (hand), marga (path),
  jana (person), raja (king), satya (truth), dharma (law/order), deva (divine)

PHONETIC BRIDGE STRATEGY:
  Byzantine Greek: -os/-is/-on endings, kh/th/ph aspirates, long vowels ē/ō
  Persian/Sanskrit: open syllables, kh/sh/zh consonants, -an/-in/-ar endings
  Bridge: Both share kh, r, n, m, s sounds and open vowel sequences
  Fantasy suffix system: -ēl (noun/being, fr. Gk -ēl), -ān (place/abstract, fr. Pers -ān),
  -ir (verb, blend of Gk -eirein + Pers -idan), -akh (adjective, fr. Pers -akh),
  -om (collective, fr. Gk -ōm), -ara (graceful noun, fr. Sanskrit -ara)

===================================================================================
RANK | ENGLISH       | APISVELDIR              | ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | khēl                    | ByzGk ho/hē + Pers khē stylized
2    | a / an        | eisān                   | ByzGk eis (one/a) + -ān
3    | to            | prosir                  | ByzGk pros (to/toward) + -ir
6    | it            | autoēl                  | ByzGk auto (it/self) + -ēl
8    | that          | ekeināl                 | ByzGk ekeinos (that) + -al
10   | it            | autoēl                  | same
11   | for           | khānakim                | Pers khāna (for/house) + -kim
14   | this          | houtosān                | ByzGk houtos (this) + -ān
20   | this          | houtosān                | same
22   | his           | autoūēl                 | ByzGk autou (his) + -ēl
28   | her           | autēsēl                 | ByzGk autēs (her) + -ēl
29   | she           | autēāra                 | ByzGk autē (she) + -āra
31   | an            | eisān                   | same as a
34   | one           | heisel                  | ByzGk heis (one) + -el
35   | all           | pasān                   | ByzGk pas (all) + -ān
37   | there         | ekeiān                  | ByzGk ekei (there) + -ān
38   | their         | autōnēl                 | ByzGk autōn (their) + -ēl
39   | what          | tiān                    | ByzGk ti (what) + -ān
45   | who           | tisāra                  | ByzGk tis (who) + -āra
49   | me            | emēān                   | ByzGk emē (me) + -ān
50   | when          | hopotān                 | ByzGk hopote (when) + -ān
55   | no            | oukhān                  | ByzGk oukh (no/not) + -ān
63   | your          | sonēl                   | ByzGk son (your) + -ēl
64   | good          | khubāra                 | Pers khub (good) + -āra
65   | some          | tinesān                 | ByzGk tines (some) + -ān
69   | other         | allosēl                 | ByzGk allos (other) + -ēl
83   | two           | dyoān                   | ByzGk dyo (two) + -ān
85   | our           | hēmōnēl                 | ByzGk hēmōn (our) + -ēl
95   | these         | houtaān                 | ByzGk houta (these) + -ān
99   | us            | hēmasān                 | ByzGk hēmas (us) + -ān
120  | got           | elabāra                 | ByzGk elab- (got/took) + -āra

--- BEING / EXISTENCE ---
2    | be / is / are | einaiir                 | ByzGk einai (to be) + -ir
70   | there         | ekeiān                  | same as there
