ARANTZA KHOISAN-BASQUE - 500 Common Word Translations
Fantasy Language based on ArantzaKhoisan-Basque name patterns
Linguistic roots: Broad Khoisan blend (ǀXam, Juǀ'hoan, ǂKhomani, Naro)
with Old Basque (medieval, 10th-15th c.) primary
Stylization: Fantasy-leaning, consistent feel prioritized.

KEY SOURCE WORDS (Broad Khoisan):
  ǀXam: ǀkui (person), ǀke (go), ǀna (see), ǁka (water), ǂka (fire),
  !xo (big/great), !u (give), ǀa (eat/take), ǁki (know), ǀhun (die),
  Juǀ'hoan: n!a (person), tsi (go), ǀui (water), dzi (eat), !oa (come),
  kxʼao (man), ǂoa (good), n!ao (heart), ǁxao (cold), !xabe (tree),
  Naro: ǂhana (good), ǁkao (big), ǀgoro (person), tshoa (go/walk),
  ǂkui (fire), ǁnao (water), ǁhao (sky), tsua (day), ǁkao (great)

KEY SOURCE WORDS (Old Basque, medieval):
  Medieval Basque: gizon (man), emazte (woman), haur (child), jaun (lord),
  errege (king), lur (earth/land), su (fire), ur (water), zeru (sky),
  egun (day), ilargi (moon), izar (star), gau (night),
  on (good), handi (great/big), egia (truth), dena (all),
  joan (go), etorri (come), ikusi (see), esan (say), jakin (know),
  eman (give), hartu (take), ibili (walk), egin (do/make)

PHONETIC BRIDGE STRATEGY:
  Khoisan: click consonants (ǀ ǁ ǂ ! ʘ) + voiced/aspirated variants,
  short CV syllables, front vowels a/i/u, nasal-final words
  Old Basque: -tza/-itza/-etxe endings, tx/tz affricates, -ari/-arri/-uri,
  agglutinative suffixes (-ko/-eko possession, -an locative, -tik ablative)
  Bridge: Both share open a/i/u vowels, short syllables, tx/tz/ts affricates
  (Basque tz ≈ Khoisan ts; Basque tx ≈ Khoisan click release sounds)
  Fantasy representation: clicks romanized as kx/qx/tx/ǀ-tz blends
  so they're speakable in fantasy context while preserving the exotic quality.
  Fantasy suffix system: -itza (noun, fr. Basque -itza), -anu (verb, fr. Basque -anu),
  -kxo (adjective, fr. Khoisan !xo = big + Basque -ko), -tza (place/abstract),
  -uri (being/person, fr. Basque -uri), -qxan (intensive, fr. Khoisan ǀXam -n)

===================================================================================
RANK | ENGLISH       | ARANTZA                 | ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | tzak                    | Basq. hau/hori stylized + Khoi -tzak
2    | a / an        | batitza                 | Basq. bat (one/a) + -itza
3    | to            | tzuri                   | Basq. -ra (to) + Khoi ts- bridge
6    | it            | horitza                 | Basq. hori (it/that) + -itza
8    | that          | haitza                  | Basq. hura (that) + -itza
10   | it            | horitza                 | same
11   | for           | tzakori                 | Basq. -tzat (for) + Khoi -ori
14   | this          | hauitza                 | Basq. hau (this) + -itza
20   | this          | hauitza                 | same
22   | his           | berekxo                 | Basq. bere (his/her) + -kxo
28   | her           | berekxo                 | same — Basq. gender-neutral bere
29   | she           | hauritz                 | Basq. hura (she) + -itz
31   | an            | batitza                 | same as a
34   | one           | batqxan                 | Basq. bat (one) + -qxan
35   | all           | denakxo                 | Basq. dena (all) + -kxo
37   | there         | hantza                  | Basq. han (there) + -tza
38   | their         | eurenkxo                | Basq. euren (their) + -kxo
39   | what          | zeritza                 | Basq. zer (what) + -itza
45   | who           | noritza                 | Basq. nor (who) + -itza
49   | me            | nitzak                  | Basq. ni (me/I) + -tzak
50   | when          | noizitza                | Basq. noiz (when) + -itza
55   | no            | ezitza                  | Basq. ez (no/not) + -itza
63   | your          | zurekxo                 | Basq. zure (your) + -kxo
64   | good          | onkxo                   | Basq. on (good) + -kxo
65   | some          | batzuitza               | Basq. batzuk (some) + -itza
69   | other         | bestekxo                | Basq. beste (other) + -kxo
83   | two           | bitzitza                | Basq. bi (two) + -tzitza
85   | our           | guretzak                | Basq. gure (our) + -tzak
95   | these         | haueitza                | Basq. hauek (these) + -itza
99   | us            | gutzak                  | Basq. gu (us) + -tzak
120  | got           | kxarituritz             | Khoi kxari (got/found) + Basq. -itz

--- BEING / EXISTENCE ---
2    | be / is / are | izananu                 | Basq. izan (to be) + -anu
70   | there         | hantza                  | same as there
72   | seem          | dirudienitz             | Basq. dirudi (seems) + -enitz
78   | think         | uste izananu            | Basq. uste (think/believe) + -anu

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | rekxo                   | Basq. -ren (of/genitive) + -kxo
5    | and           | etaitza                 | Basq. eta (and) + -itza
