ASHIRUM ICELANDIC - 500 Common Word Translations
Fantasy Language based on AshirumIcelandic name patterns
Linguistic roots: Old Norse (8th-13th c.) + Modern Icelandic blend
Attested Old Norse and Icelandic words used where possible; constructed fill
follows Norse phonotactics.

KEY SOURCE WORDS:
  Old Norse: maðr (man), kona (woman), barn (child), land (land), vatn (water),
  eldr (fire), himinn (sky), jörð (earth), dagr (day), nótt (night), veðr (weather),
  vegr (way/road), fara (to go), vera (to be), gefa (to give), taka (to take),
  sjá (to see), segja (to say), vita (to know), vilja (to want), ganga (to walk),
  koma (to come), standa (to stand), hafa (to have), gera (to do/make),
  mikill (great/large), góðr (good), gamall (old), ungr (young), sterkr (strong)

  Modern Icelandic: já (yes), nei (no), og (and), en (but), af (of/from),
  með (with), við (at/by), til (to/until), um (about), frá (from),
  fara (to go), vera (to be), gera (to do), sjá (to see), tala (to talk),
  stór (large), lítill (small), góður (good), fallegur (beautiful), sterkur (strong)

NOTE: Ashirum blends the harder consonants of Old Norse (ð, þ, kv, sk, str, gr)
with the melodic vowel shifts of Modern Icelandic (au, ei, ó, æ, ö).
Name list patterns: Eld-Borg, Eld-Fell, Gjall-Borg, Krafla-Dal, Raud-Fell,
Skall-Borg, Sur-Fell, Surtsey, Hekla, Grimr, Skarphedin — favour hard
consonant-initial stems with -r endings and compound structures.

===================================================================================
RANK | ENGLISH       | ASHIRUM ICELANDIC       | OLD NORSE / ICELANDIC ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | inn                     | ON inn/in/it (the) — attested
2    | a / an        | einn                    | ON einn (one/a) — attested
6    | it            | þat                     | ON þat (it/that) — attested
14   | this          | þessi                   | ON þessi (this) — attested
38   | what          | hvat                    | ON hvat (what) — attested
45   | who           | hverr                   | ON hverr (who/which) — attested
63   | your          | þinn                    | ON þinn (your/thy) — attested
85   | our           | várr                    | ON várr (our) — attested
99   | us            | oss                     | ON oss (us) — attested

--- BEING / EXISTENCE ---
2    | be / is / are | vera                    | ON/Icel. vera (to be) — attested
70   | there         | þar                     | ON þar (there) — attested
72   | seem          | þykkja                  | ON þykkja (to seem/appear) — attested
78   | think         | hyggja                  | ON hyggja (to think/consider) — attested

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | af                      | ON/Icel. af (of/from) — attested
5    | and           | ok                      | ON ok (and) — attested
12   | not           | eigi                    | ON eigi (not) — attested
13   | on            | á                       | ON á (on/upon) — attested
14   | with          | með                     | ON/Icel. með (with) — attested
21   | but           | en                      | ON/Icel. en (but/and) — attested
23   | by            | við                     | ON/Icel. við (by/at/with) — attested
24   | from          | frá                     | ON/Icel. frá (from) — attested
30   | or            | eða                     | ON eða (or) — attested
32   | into          | í                       | ON í (in/into) — attested
43   | if            | ef                      | ON/Icel. ef (if) — attested
44   | about         | um                      | ON/Icel. um (about/around) — attested
60   | because       | þvíat                   | ON þvíat (because) — attested
71   | only          | einungis                | Icel. einungis (only) — attested
82   | also          | ok svá                  | ON ok svá (and so/also) stylized
83   | after         | eptir                   | ON eptir (after/behind) — attested
90   | even          | jafnvel                 | Icel. jafnvel (even/equally) — attested
95   | these         | þessir                  | ON þessir (these) — attested
