ASHVELD SWAHILI-QUECHUA - 500 Common Word Translations
Fantasy Language based on AshveldSwahili-Quechua name patterns
Linguistic roots: Swahili (Bantu, any era) + Quechua (Andean/Incan)
Blending strategy: Quechua's open vowels (a, i, u) and -q/-k/-y endings
bridge naturally with Swahili's vowel-final words and ki-/ku-/m-/wa- prefix system.
Phonetic bridges prioritized — words that could belong to either language used freely.

KEY SOURCE WORDS:
  Swahili: mtu (person), maji (water), moto (fire), ardhi (earth), mbingu (sky),
  jua (sun), mwezi (moon), nyota (star), siku (day), usiku (night), nchi (land),
  njia (road/way), kuja (to come), kwenda (to go), kusema (to say), kuona (to see),
  kupenda (to love/like), kujua (to know), kutoa (to give), kuchukua (to take),
  kubwa (big/great), nzuri (good/beautiful), kweli (truth), watu (people),
  Quechua: runa (person), yaku (water), nina (fire), allpa (earth), hanaq (sky/above),
  inti (sun), killa (moon), quyllur (star), punchaw (day), tuta (night), llaqta (town),
  ñan (road/path), hamuy (to come), riy (to go), rimay (to speak), qaway (to see),
  munay (to love/want), yachay (to know), quy (to give), hapiy (to take/catch),
  hatun (big/great), sumaq (good/beautiful), chiqan (truth/straight), runakuna (people)

PHONETIC BRIDGE NOTES:
  Both languages share: open a/i/u vowels, k/q stops, no complex consonant clusters
  Swahili ku- prefix (verb infinitive) bridges with Quechua verb stems ending in -y
  Swahili m-/wa- animate prefixes bridge with Quechua -runa/-kuna plurals
  Shared sounds: k, m, n, w, y, s, t, ch (Swahili ch = Quechua ch)
  Bridge words: words using only a,i,u,k,m,n,w,y,s feel native to both

===================================================================================
RANK | ENGLISH       | ASHVELD SW-QU           | ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | ki                      | Sw. ki- (class prefix/the) — attested
2    | a / an        | moja                    | Sw. moja (one/a) — attested
3    | to            | ku                      | Sw. ku- (infinitive/to) — attested
6    | it            | kitu                    | Sw. kitu (thing/it) — attested
8    | that          | kile                    | Sw. kile (that) — attested
10   | it            | kitu                    | Sw. kitu (same as above)
11   | for           | kwa                     | Sw. kwa (for/by/with) — attested
14   | this          | hiki                    | Sw. hiki (this) — attested
20   | this          | hiki                    | Sw. hiki (same)
22   | his           | yake                    | Sw. yake (his/her/its) — attested
28   | her           | yake                    | Sw. yake (same — gender neutral)
29   | she           | yeye                    | Sw. yeye (she/he) — attested
31   | an            | moja                    | Sw. moja (one/a — same as a)
34   | one           | kimoja                  | Sw. kimoja (one single) — attested
35   | all           | yote                    | Sw. yote (all/every) — attested
37   | there         | kule                    | Sw. kule (there) — attested
38   | their         | yao                     | Sw. yao (their) — attested
39   | what          | nini                    | Sw. nini (what) — attested
45   | who           | nani                    | Sw. nani (who) — attested
49   | me            | mimi                    | Sw. mimi (me/I) — attested
50   | when          | lini                    | Sw. lini (when) — attested
55   | no            | hapana                  | Sw. hapana (no/not) — attested
63   | your          | yako                    | Sw. yako (your/yours) — attested
64   | good          | nzuri                   | Sw. nzuri (good/beautiful) — attested
65   | some          | baadhi                  | Sw. baadhi (some) — attested
85   | our           | yetu                    | Sw. yetu (our) — attested
95   | these         | hizi                    | Sw. hizi (these) — attested
99   | us            | sisi                    | Sw. sisi (us/we) — attested

--- BEING / EXISTENCE ---
2    | be / is / are | kuwa                    | Sw. kuwa (to be) — attested
