BOVARI SCYTHIAN - 500 Common Word Translations (REVISED)
Fantasy Language based on BovariScythian name patterns
Linguistic roots: Old Iranian / Avestan + Kazakh (Turkic)
Attested Scythian/Avestan words used where possible; Kazakh fills remaining gaps.
Words are stylized and evolved — not direct translations.

KEY SOURCE WORDS:
  Avestan/Old Iranian: ahu (lord/being), arta (truth/order), xshathra (power/realm),
  daeva (spirit), aša (righteousness), druj (lie/chaos), spenta (holy/bountiful),
  arya (noble), maz (great), haoma (sacred), fravashi (spirit), yazata (divine)
  Kazakh: жер/zher (earth), су/su (water), от/ot (fire), күн/kun (sun/day),
  ай/ay (moon), тау/tau (mountain), дала/dala (steppe), жол/zhol (road/way),
  ел/el (people/nation), адам/adam (person), жақсы/zhaksy (good), үлкен/ulken (great)

===================================================================================
RANK | ENGLISH       | BOVARI SCYTHIAN         | ROOTS / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | ska                     | Av. particle of specificity
2    | a / an        | ahu                     | Av. ahu (a being/one)
6    | it            | tara                    | Av. tara (that one)
14   | this          | aita                    | Av. aita (this)
38   | what          | chi                     | Kaz. shi/chi (what)
45   | who           | kas                     | Kaz. kas (who)
63   | your          | khavan                  | Av. khva (self/your)
85   | our           | ahma                    | Av. ahma (our/us)
99   | us            | ahme                    | Av. ahme (to us)

--- BEING / EXISTENCE ---
2    | be / is / are | asti                    | Av. asti (is/exists)
70   | there         | avat                    | Av. avat (there/that place)
72   | seem          | vispat                  | Av. vispa (all/appearing)
78   | think         | mananh                  | Av. mananh (mind/thought)

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | hya                     | Av. hya (of/which)
5    | and           | uta                     | Av. uta (and/also)
12   | not           | noit                    | Av. noit (not)
13   | on            | upairi                  | Av. upairi (upon/over)
14   | with          | haca                    | Av. haca (with/from)
21   | but           | vaso                    | Av. vaso (but/yet)
23   | by            | pati                    | Av. pati (by/at)
24   | from          | hakat                   | Av. haca + t (from)
30   | or            | ya                      | Av. ya (or/which)
32   | into          | antar                   | Av. antar (within/into)
43   | if            | yezi                    | Av. yezi (if/when)
44   | about         | paiti                   | Av. paiti (toward/about)
60   | because       | yavat                   | Av. yavat (because/as long as)
71   | only          | aevo                    | Av. aevo (one/only)
82   | also          | uta                     | Av. uta (and/also — same as and)
83   | after         | pasca                   | Av. pasca (after/behind)
90   | even          | api                     | Av. api (even/also)
95   | these         | aitaon                  | Av. aita plural form
120  | until         | yavat                   | Av. yavat (until/as long as)
154  | soon          | zuta                    | Kaz. zuten (quickly/soon)
172  | since         | hacaet                  | Av. haca + et (since/from then)
183  | against       | paiti-var               | Av. paiti + var (against/ward)
192  | during        | antarat                 | Av. antar extended (during)
219  | toward        | paiti                   | Av. paiti (toward)
251  | still         | havo                    | Av. havo (still/even now)
261  | above         | upairi                  | Av. upairi (above/over)
287  | behind        | pascat                  | Av. pasca + t (behind)
332  | yes           | oi                      | Kaz. oi (yes/indeed)
338  | yet           | vaso                    | Av. vaso (yet/but)
339  | among         | antara                  | Av. antara (among/between)
340  | perhaps       | matha                   | Av. matha (perhaps/maybe)
451  | shall         | hishta                  | Av. hishta (shall/will stand)
