GORIRUM PERSIAN-PARTHIAN - 500 Common Word Translations
Fantasy Language based on GorirumPersian-Parthian name patterns
Linguistic roots: Broad blend of Old Persian (Achaemenid, 6th-4th c. BC),
Parthian/Arsacid (3rd c. BC - 3rd c. AD), and Middle Persian/Pahlavi (3rd-7th c. AD)
Equal Persian/Parthian weighting. Stylization: Fantasy-leaning.

KEY SOURCE WORDS:
  Old Persian (OP): adam (I), tuvam (you), hauv (he/she), vayam (we),
  hya/tyā (who/which/that), utā (and), naiy (not), patiy (on/at),
  hacā (from), abiy (to/toward), yadiy (if), avahyā (of that),
  ahy (be/is), akunauš (did/made), adā (gave), aθangaina (strong),
  baga (god/divine), arta (truth/order), druj (lie/chaos), xšāyaθiya (king),
  kāra (people/army), būmi (earth), āp (water), ātar (fire), asman (sky),
  raucah (light/day), māha (moon), star (star), xšnuta (satisfied/good),
  Parthian: man (I/me), to (you), ō (he/she), amāh (we), šmāh (you pl.),
  ud (and), nē (not), pad (at/in), az (from), ō (to), agar (if),
  būdan (to be), kardan (to do), didan (to see), guftan (to say),
  dānistan (to know), dādan (to give), raftan (to go), āmadan (to come),
  mard (man), zan (woman), pus (son), šāh (king), xalq (people),
  zamin (earth), āb (water), ātaš (fire), āsmān (sky), rōz (day),
  māh (moon), sitāra (star), buzurg (great), nēk (good), rāst (true)
  Middle Persian/Pahlavi: ān (that/the), ēn (this), ī (of/relative),
  u (and), nē (not), pad (at/in), az (from/of), ō (to),
  būdan (be), kardan (do), widan (see), gōwišn (speech), dānāgīh (knowledge)

PHONETIC BRIDGE STRATEGY:
  All three share: open a/ā vowels, x/kh fricatives, sh/š sounds,
  r liquids, n/m nasals, -an/-ān noun endings, -ar/-ar suffixes
  Old Persian: formal -aiy/-ahy endings, consonant clusters (xš, θr),
  Parthian: simpler CV structure, -ag/-ag endings, more open vowels
  Middle Persian: -ēd verb endings, ī genitive, -išn abstract nouns
  Fantasy suffix system: -avar (noun/being, fr. OP/MP -avar = possessing),
  -shan (verb, fr. MP -išn abstract + Parth. -an infinitive),
  -druj (negative/dark quality, fr. OP druj = lie/chaos),
  -arta (truth/order quality, fr. OP arta), -rōz (day/light word),
  -mah (moon/great word, fr. OP māha + Parth. māh)

===================================================================================
RANK | ENGLISH       | GORIRUM                 | ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | ānavar                  | MP ān (the/that) + -avar
2    | a / an        | aivavar                 | OP aiva (one/a) + -avar
3    | to            | abiyshan                | OP abiy (to/toward) + -shan
6    | it            | hauvar                  | OP hauv (it/he/she) + -avar
8    | that          | āndruj                  | MP ān (that) + -druj
10   | it            | hauvar                  | same
11   | for           | rādavar                 | OP rādiy (for/because) + -avar
14   | this          | ēnavar                  | MP ēn (this) + -avar
20   | this          | ēnavar                  | same
22   | his           | hauravar                | OP hauvā (his/her) + -avar
28   | her           | hauravar                | same — Iranian gender-neutral
29   | she           | ōmavar                  | Parth. ō (she/he) + -mavar
31   | an            | aivavar                 | same as a
34   | one           | aivartavar              | OP aiva (one) + -rtavar
35   | all           | haruvaavar              | OP haruva (all/every) + -avar
37   | there         | avarshan                | OP avar (there/upon) + -shan
38   | their         | taishamavar             | OP taišām (their) + -avar
39   | what          | čiyavar                 | OP čiy (what) + -avar
45   | who           | kavar                   | OP ka (who) + -avar
49   | me            | adamavar                | OP adam (me/I) + -avar
50   | when          | yadiyavar               | OP yadiy (when/if) + -avar
55   | no            | naiyavar                | OP naiy (no/not) + -avar
63   | your          | tuvamavar               | OP tuvam (your) + -avar
64   | good          | nēkavar                 | Parth. nēk (good) + -avar
65   | some          | paravar                 | OP para (some/beyond) + -avar
69   | other         | anyavar                 | OP anya (other) + -avar
83   | two           | duvaavar                | OP duva (two) + -avar
85   | our           | amāhavar                | Parth. amāh (our) + -avar
95   | these         | ēnahavar                | MP ēn pl. + -havar
99   | us            | vayamavar               | OP vayam (us/we) + -avar
120  | got           | griftavar               | Parth. grift (got/seized) + -avar

--- BEING / EXISTENCE ---
2    | be / is / are | būdanshan               | Parth. būdan (to be) + -shan
70   | there         | avarshan                | same as there
72   | seem          | namūdanshan             | Parth. namūdan (to seem/show) + -shan
78   | think         | wiyābānshan             | MP wiyābān (to think/consider) + -shan

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | hačāavar                | OP hacā (of/from) + -avar
5    | and           | utāshan                 | OP utā (and) + -shan
12   | not           | naiyavar                | OP naiy (not) + -avar
13   | on            | patiyavar               | OP patiy (on/upon) + -avar
14   | with          | hamavar                 | OP ham (with/together) + -avar
