IMPERIAL ENGLAND - 500 Common Word Translations
Fantasy Language: Imperial England
Linguistic roots: 50% Old/Middle English (equal blend, 5th-15th c.)
+ 50% borrowed/absorbed/conquered from 19 other Durgeth languages
Stylization: Fantasy-leaning. Imperial England feels like a dominant
tongue that has swallowed vocabulary from every culture it has touched.

NATURE OF BORROWING:
  CONQUEST borrowings (harder absorption, sometimes clipped/anglicized):
    Bovari Scythian, Naukin Mongolian, Stoneguard Toltec,
    Veildrift Slavic, Verdathi Aboriginal, Sylvarirum Navajo
  TRADE borrowings (softer, more equal assimilation):
    Solarirum French, Sunblade Greek, Gorirum Persian,
    Vethanirum Catalan, Apisveldir Byzantine, Apiskeld Sumerian
  ABSORBED borrowings (place-names, nature words, concepts):
    Ashirum Icelandic, Nordal Russian, Ashveld Swahili,
    Murrak Tasmanian-Etruscan, Arantza Basque, Apisdren Bhutan,
    Kreln Welsh-Polynesian

KEY OLD/MIDDLE ENGLISH ROOTS:
  OE: þe/se (the), and/ond (and), ne/na (not), on/an (on/at),
  of (of), mid (with), to (to), gif (if), forþan (because),
  beon/wesan (be), habban (have), don (do), secgan (say), geseon (see),
  gan (go), cuman (come), witan (know), gifan (give), niman (take),
  man/guma (man), wif (woman), cild (child), cyning (king),
  eorþe (earth), fyr (fire), wæter (water), heofon (sky/heaven),
  dæg (day), mona (moon), steorra (star), god (good), micel/mycel (great)
  ME: the, and, nat/not, on, of, with, to, if, for, because,
  been, have, do, say, see, go, come, know, give, take,
  man, woman, child, king, earth, fire, water, heven, day,
  moon, sterre, good, grete, true, world, time, place, way

SUFFIX/AFFIX SYSTEM FOR IMPERIAL ENGLAND:
  -en  = OE/ME infinitive/past participle marker
  -ish = OE/ME adjectival suffix (absorbed as quality marker)
  -wyn = OE/ME joy/delight (used as positive noun suffix)
  -ward = OE direction suffix (used for directional/place words)
  -dom  = OE realm/state suffix
  -craft = OE skill/art suffix
  Borrowed suffixes retained: -vel (Solarirum), -ara (Gorirum),
  -tli (Stoneguard, conquest-clipped to -tl), -vrath (Veildrift),
  -lara (Murrak, softened to -lar in Imperial)

===================================================================================
RANK | ENGLISH       | IMPERIAL ENGLAND        | SOURCE / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | þe                      | OE þe (the) — attested
2    | a / an        | an                      | OE an (one/a) — attested
3    | to            | to                      | OE to — attested
6    | it            | hit                     | OE hit (it) — attested
8    | that          | þat                     | OE þæt (that) — attested
10   | it            | hit                     | same
11   | for           | forvel                  | OE for + Sol. -vel (trade)
14   | this          | þis                     | OE þis (this) — attested
20   | this          | þis                     | same
22   | his           | his                     | OE his — attested
28   | her           | hire                    | OE hire (her) — attested
29   | she           | heo                     | OE heo (she) — attested
31   | an            | an                      | OE an (a/an) — attested
34   | one           | ān                      | OE ān (one) — attested
35   | all           | eall                    | OE eall (all) — attested
37   | there         | þær                     | OE þær (there) — attested
38   | their         | heora                   | OE heora (their) — attested
39   | what          | hwæt                    | OE hwæt (what) — attested
45   | who           | hwā                     | OE hwā (who) — attested
49   | me            | mē                      | OE mē (me) — attested
50   | when          | hwenne                  | OE hwenne (when) — attested
55   | no            | nā                      | OE nā (no) — attested
63   | your          | ēower                   | OE ēower (your) — attested
64   | good          | gōd                     | OE gōd (good) — attested
65   | some          | sum                     | OE sum (some) — attested
69   | other         | ōþer                    | OE ōþer (other) — attested
83   | two           | twā                     | OE twā (two) — attested
85   | our           | ūre                     | OE ūre (our) — attested
95   | these         | þās                     | OE þās (these) — attested
99   | us            | ūs                      | OE ūs (us) — attested
120  | got           | geten                   | ME geten (got) — attested

--- BEING / EXISTENCE ---
2    | be / is / are | beon                    | OE beon (to be) — attested
70   | there         | þær                     | OE þær (there)
72   | seem          | sēman                   | OE sēman + Sol. sembleïr blend
78   | think         | þencan                  | OE þencan (to think) — attested

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | of                      | OE of — attested
5    | and           | and                     | OE and — attested
12   | not           | naht                    | OE naht (not/naught) — attested
13   | on            | on                      | OE on — attested
14   | with          | mid                     | OE mid (with) — attested
19   | at            | æt                      | OE æt (at) — attested
21   | but           | butan                   | OE butan (but/except) — attested
23   | by            | bī                      | OE bī (by) — attested
24   | from          | fram                    | OE fram (from) — attested
30   | or            | oþþe                    | OE oþþe (or) — attested
32   | will          | willen                  | OE willan (will/want) — attested
