KRELN WELSH-POLYNESIAN - 500 Common Word Translations
Fantasy Language based on KrelnWelsh-Polynesian name patterns
Linguistic roots: Old Welsh / Middle Welsh (9th-14th c.) primary
with Samoan (primary Polynesian) and Māori (secondary) flavoring
Stylization: Fantasy-leaning, consistent feel prioritized.

KEY SOURCE WORDS (Old/Middle Welsh):
  y/yr (the), a/ac (and), nid/ni (not), yn (in/at), o (from/of),
  â/gyda (with), ond (but), os (if), am (about/for), ar (on/upon),
  bod (to be), cael (to have/get), gwneud (to do/make), dweud (to say),
  gweld (to see), mynd (to go), dod (to come), gwybod (to know),
  dyn (man), gwraig (woman), mab (son/boy), merch (girl), pobl (people),
  brenin (king), daear (earth), tân (fire), dŵr (water), awyr (sky),
  dydd (day), mawr (great/big), da (good), gwir (true), llawn (full),
  Old Welsh: map (son), hen (old), du (black), gwyn (white), coch (red),
  llong (ship), caer (fort), môr (sea), nef (heaven), llys (court)

KEY SOURCE WORDS (Samoan):
  le (the), se (a), ma (and), ae (but), i (at/in/to), mai (from),
  o (of/from), fa'a- (like/manner of), tele (big/many), lelei (good),
  maua (have/get), fai (do/say), va'ai (see), alu (go), sau (come),
  iloa (know), alofa (love), tagata (person), ali'i (chief/king),
  vai (water), afi (fire), eleele (earth), lagi (sky), ao (cloud/day)

KEY SOURCE WORDS (Māori):
  te (the), he (a), me (and/with), engari (but), i (at/past marker),
  nō (from/of), kia (to/for), mō (for/about), whakamāui (to turn),
  tangata (person), rangi (sky), whenua (land), awa (river), maunga (mountain),
  wai (water), ahi (fire), ao (cloud/world), rā (sun), marama (moon),
  nui (big), pai (good), tika (correct/straight), māku (wet), māero (wild)

PHONETIC BRIDGE STRATEGY:
  Welsh: ll (voiceless lateral), dd (voiced dental), rh (voiceless r),
         ch (velar fricative), f/ff distinction, mutation system
  Samoan: open CV syllables, glottal stop ('), long vowels, fa'a- prefix
  Māori: wh (f-sound), ng (velar nasal), macron vowels (ā/ē/ī/ō/ū)
  Bridge: Welsh consonant stems + Polynesian vowel-final endings
  Both share: open a/e/i/o vowels, nasal n/m, liquid l/r
  Fantasy suffix system: -ael (noun, fr. Welsh -ael), -anu (verb, fr. Samoan -anu),
  -lwi (adjective, fr. Welsh -lwi), -ora (place/abstract, fr. Polynesian -ora),
  -ddu (dark/intense marker, fr. Welsh du), -mai (motion/from, fr. Samoan mai)

===================================================================================
RANK | ENGLISH       | KRELN                   | ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | yr                      | Welsh yr (the) — attested
2    | a / an        | seael                   | Samoan se (a) + Welsh -ael
3    | to            | rhianu                  | Welsh rhi (lord/to) + -anu
6    | it            | hynnael                 | Welsh hynny (it/that) + -ael
8    | that          | acwael                  | Welsh acw (that/over there) + -ael
10   | it            | hynnael                 | same
11   | for           | amora                   | Welsh am (for/about) + -ora
14   | this          | hwnnael                 | Welsh hwn (this) + -ael
20   | this          | hwnnael                 | same
22   | his           | eidolwi                 | Welsh eiddo (his/possession) + -lwi
28   | her           | eidolwi                 | Welsh eiddo (her — same)
29   | she           | hianu                   | Welsh hi (she) + -anu
31   | an            | seael                   | same as a
34   | one           | unael                   | Welsh un (one) + -ael
35   | all           | poplwi                  | Welsh pob (all/every) + -lwi
37   | there         | acwora                  | Welsh acw (there) + -ora
38   | their         | eiddolwi                | Welsh eiddo (their) + -lwi
39   | what          | bethael                 | Welsh beth (what) + -ael
45   | who           | pwyal                   | Welsh pwy (who) + -al
49   | me            | mifael                  | Welsh mi (me/I) + -ael
50   | when          | prydael                 | Welsh pryd (when/time) + -ael
55   | no            | nidael                  | Welsh nid (no/not) + -ael
63   | your          | ddyolwi                 | Welsh dy (your) + dd- mut. + -lwi
64   | good          | daolwi                  | Welsh da (good) + -olwi
65   | some          | rhaiol                  | Welsh rhai (some) + -ol
69   | other         | arallael                | Welsh arall (other) + -ael
83   | two           | dwael                   | Welsh dwy/dau (two) + -ael
85   | our           | einora                  | Welsh ein (our) + -ora
95   | these         | rhainael                | Welsh rhain (these) + -ael
99   | us            | ninael                  | Welsh ni (us) + -nael
120  | got           | caelodd                 | Welsh caelod (got/received) stylized

--- BEING / EXISTENCE ---
2    | be / is / are | bodanu                  | Welsh bod (to be) + -anu
70   | there         | acwora                  | same as there
72   | seem          | ymddangosddu            | Welsh ymddangos (to seem) + -ddu
78   | think         | meddylianu              | Welsh meddwl (to think) + -anu

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | olwi                    | Welsh o (of/from) + -lwi
5    | and           | acael                   | Welsh ac/a (and) + -ael
12   | not           | nidael                  | Welsh nid (not) + -ael
13   | on            | arael                   | Welsh ar (on/upon) + -ael
14   | with          | gydalwi                 | Welsh gyda (with) + -lwi
19   | at            | ynael                   | Welsh yn (at/in) + -ael
21   | but           | ondael                  | Welsh ond (but) + -ael
