MURRAK TASMANIAN-ETRUSCAN - 500 Common Word Translations
Fantasy Language based on MurrakTasmanian name patterns
Linguistic roots: Equal blend of Tasmanian Aboriginal (phonetics/sound palette)
and Etruscan (vocabulary structure/grammar)
Stylization: Fully built-out fantasy language.

KEY SOURCE WORDS (Tasmanian Aboriginal — Palawa kani/various fragments):
  nina (fire), timme (water/rain), wana (go/walk), lanna (day),
  tana (they/those), para (place/country), rawa (good), mana (I/me),
  nara (person), lara (woman), kara (stone/rock), pakana (people of this land),
  lutruwita (Tasmania), nila (sky/wind/cold)

KEY SOURCE WORDS (Etruscan — partially deciphered):
  mi (I/me), mini (me/to me), an (he/she/it), ita (this/these),
  θui (here), θan (there/that), ipa (this), ais (god/divine),
  clan (son), sec (daughter), ati (mother), lautni (family member),
  zilc (magistrate/ruler), θur (to stand/be), tur (give), man (remain/stay),
  ril (year/age), avil (year), sval (alive/live), śuc (die/death),
  fler (offering/sacrifice), trin (plead/pray/think), menθ (face/front),
  θesan (dawn), rasna (Etruscan people), tular (boundaries/limits),
  lur (vessel/urn), śpural (of the city), luθ (pipe/music/play),
  acl (portray/see), kap (take/seize), eθ (go/come), uzi (end/rise),
  Numerals: θu(1), zal(2), ci(3), śa(4), maχ(5), huθ(6), semφ(7), cezp(8), nurφ(9), śar(10)

SUFFIX SYSTEM:
  -lara  = primary noun (Tasm. lara=woman + Etr. -ra genitive)
  -turia = verb ending (Etr. tur=give + Tasm. -ia)
  -walθ  = adjective (Tasm. wal- + Etr. -θ past marker)
  -θuna  = place/realm noun (Etr. θun + Tasm. -na)
  -θlara = intensive noun (weighty/significant things)

===================================================================================
RANK | ENGLISH       | MURRAK                  | ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | ipa                     | Etr. ipa (this/the) — attested
2    | a / an        | θulara                  | Etr. θu (one) + -lara
3    | to            | rituria                 | Etr. ri (toward) + -turia
6    | it            | anlara                  | Etr. an (it/he/she) + -lara
8    | that          | θanlara                 | Etr. θan (that) + -lara
10   | it            | anlara                  | same
11   | for           | θunalara                | Etr. θun (for/to) + -lara
14   | this          | italara                 | Etr. ita (this) + -lara
20   | this          | italara                 | same
22   | his           | anwalθ                  | Etr. an (his/her) + -walθ
28   | her           | anwalθ                  | same — gender-neutral
29   | she           | tanara                  | Tasm. tana (she/they) + -ra
31   | an            | θulara                  | same as a
34   | one           | θurana                  | Etr. θu (one) + -rana
35   | all           | manalara                | Tasm. mana (all) + -lara
37   | there         | θuiθuna                 | Etr. θui (here) + -θuna
38   | their         | tanwalθ                 | Tasm. tana (their) + -walθ
39   | what          | penalara                | Etr. pen (what) + -lara
45   | who           | karalara                | Tasm. kara (who/person) + -lara
49   | me            | minilara                | Etr. mini (me) + -lara
50   | when          | rillara                 | Etr. ril (when/year) + -lara
55   | no            | nalara                  | Tasm./Etr. na (no/not) + -lara
63   | your          | zuslara                 | Etr. zus (your) + -lara
64   | good          | rawalθ                  | Tasm. rawa (good) + -walθ
65   | some          | larilara                | Etr. lari (some) + -lara
69   | other         | alilara                 | Etr. ali (other) + -lara
83   | two           | zallara                 | Etr. zal (two) + -lara
85   | our           | miθlara                 | Etr. mi (our) + θ + -lara
95   | these         | itaklara                | Etr. ita (these) + k + -lara
99   | us            | milara                  | Etr. mi (us) + -lara
120  | got           | turiθwalθ               | Etr. tur (got/gave) + -iθwalθ

