NAUKIN MONGOLIAN-AKKADIAN - 500 Common Word Translations
Fantasy Language based on NaukinMongolian-Akadian name patterns
Linguistic roots: Middle Mongolian (Secret History era, 13th c.) primary
with Old Akkadian (Sargonic, 2300-2150 BC) and Old Babylonian (1900-1600 BC) blend
Stylization: Fantasy-leaning, consistent feel prioritized.

KEY SOURCE WORDS (Middle Mongolian, Secret History):
  tere (he/that), ene (this/he), bi (I/me), ta (you), bide (we),
  ba (and/also), bol (be/become), ügei (not), -yin/-un (of/genitive),
  -tur/-dür (at/in/dative), -aca/-ece (from/ablative),
  yeke (great/big), sain (good), ünen (true), qamuγ (all),
  γajar (earth/place), usun (water), γal (fire), tenggeri (sky/heaven),
  edür (day), sara (moon), odun (star), öni (night),
  kümün (person/man), eme (woman), köbegün (son/boy), noyan (lord/general),
  qaγan (khan/ruler), irgen (people/nation), mori (horse), noqai (dog),
  gazar (land), uul (mountain), mören (river), oi (forest),
  yabumu (go), iremu (come), üjeму (see), keleму (say), mededeму (know)

KEY SOURCE WORDS (Akkadian, mixed era):
  šu (he/this), šī (she), anāku (I), atta (you), nīnu (we),
  u (and), lā (not), ina (in/at), ana (to/for), ištu (from),
  itti (with), eli (over/upon), warki (after/behind),
  awīlum (man/person), sinništum (woman), mārum (son), šarrum (king),
  erṣetum (earth), nārum (river), mûm (water), išātum (fire),
  šamû (sky/heaven), ūmum (day), warḫum (month), kakkabum (star),
  rabûm (great/big), ṭābum (good), kīnum (true/firm), kalûm (all),
  alākum (go), erēbum (enter), amārum (see), qabûm (say), idûm (know)

PHONETIC BRIDGE STRATEGY:
  Mongolian: vowel harmony (back: a/o/u vs front: e/ö/ü), agglutinative suffixes,
  hard stops q/γ, retroflex sounds, -n endings on nouns
  Akkadian: emphatic consonants (ṭ/ṣ/q), short vowels, CVC roots,
  case endings (-um nominative, -am accusative, -im genitive)
  Bridge: Both share short punchy syllables, k/q stops, n/m endings,
  open a/u vowels, agglutinative word-building
  Fantasy suffix system: -un (noun, fr. Mong. -un genitive repurposed as noun marker),
  -anu (verb, fr. Akk. -ānum infinitive), -qan (adjective/great, fr. Mong. qaγan),
  -tur (locative/place, fr. Mong. -tur dative), -bul (collective, fr. Mong. bol)

===================================================================================
RANK | ENGLISH       | NAUKIN                  | ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | tere                    | Mong. tere (the/that) — attested
2    | a / an        | nigen                   | Mong. nigen (one/a) — attested
3    | to            | anutur                  | Akk. ana (to) + Mong. -tur
6    | it            | eneun                   | Mong. ene (it/this) + -un
8    | that          | tereun                  | Mong. tere (that) + -un
10   | it            | eneun                   | same
11   | for           | anatun                  | Akk. ana (for/to) + Mong. -tun
14   | this          | eneqan                  | Mong. ene (this) + -qan
20   | this          | eneqan                  | same
22   | his           | tereyin                 | Mong. tere-yin (his/of that) — attested
28   | her           | tereyin                 | same — Mongolian gender-neutral
29   | she           | teremoqan               | Mong. tere + Akk. -moqan stylized
31   | an            | nigen                   | same as a
34   | one           | nigeun                  | Mong. nigen (one) + -un
35   | all           | qamuqan                 | Mong. qamuγ (all) + -qan
37   | there         | tende                   | Mong. tende (there) — attested
38   | their         | terenaryin              | Mong. terenar (their) + -yin
39   | what          | yaqun                   | Mong. yaγun (what) — attested
45   | who           | kenbul                  | Mong. ken (who) + -bul
49   | me            | biun                    | Mong. bi (me/I) + -un
50   | when          | qolunaun                | Mong. qolun (when) + -aun
55   | no            | ügeiun                  | Mong. ügei (no/not) + -un
63   | your          | tanyin                  | Mong. tan (your) + -yin
64   | good          | sainqan                 | Mong. sain (good) + -qan
65   | some          | jarimun                 | Mong. jarim (some) + -un
69   | other         | ögedeun                 | Mong. ögedei (other/next) + -un
83   | two           | qoyarun                 | Mong. qoyar (two) + -un
85   | our           | mananyin                | Mong. manan (our) + -yin
95   | these         | enenarqan               | Mong. enenar (these) + -qan
99   | us            | bidenun                 | Mong. bide (us) + -nun
120  | got           | olaqanu                 | Mong. ola (got/found) + -qanu

--- BEING / EXISTENCE ---
2    | be / is / are | bolanu                  | Mong. bol (to be/become) + -anu
70   | there         | tende                   | Mong. tende (there) — attested
72   | seem          | metüqanu                | Mong. metü (like/seem) + -qanu
78   | think         | bodoqanu                | Mong. bodol (thought) + -qanu

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | ynun                    | Mong. -yin/-un (of/genitive) + -un
5    | and           | baqan                   | Mong. ba (and) + -qan
12   | not           | ügeiun                  | Mong. ügei (not) + -un
13   | on            | degerun                 | Mong. degere (on/above) + -un
