NORDAL RUSSIAN - 500 Common Word Translations
Fantasy Language based on NordalRussian name patterns
Linguistic roots: Old Church Slavonic (primary base) + Medieval Russian,
layered with Polish (heaviest), Czech/Bohemian, Lithuanian/Baltic,
Hungarian vowel harmony, Wallachian/Moldavian, Rus Principalities, Serbian/Bulgarian.

KEY SOURCE WORDS:
  OCS: językŭ (language), zemlja (earth), voda (water), ogňŭ (fire), nebо (sky),
  světŭ (light/world), slovo (word), imę (name), věra (faith/truth), vladŭ (rule/power),
  bratŭ (brother), mati (mother), sŭnŭ (son), ljudije (people), knędzĭ (prince/lord),
  věšti (thing), choditi (to go), věděti (to know), dati (to give), byti (to be),
  Polish: pan (lord/sir), ziemia (earth), woda (water), ogień (fire), niebo (sky),
  Czech: zem (earth), voda, oheň, nebe, slovo — mirroring OCS closely,
  Lithuanian: žemė (earth), vanduo (water), ugnis (fire), dangus (sky),
  Hungarian: föld (earth), víz (water), tűz (fire), ég (sky), ember (person),
  vár (fortress/castle), úr (lord), király (king)

NOTE: Nordal blends OCS's formal ecclesiastical register with the hard consonant
stacks of Polish (sz, cz, rz, szcz), Czech softness (ř, č, ž), Lithuanian flow
(-as, -is endings), and Hungarian vowel harmony (-vár, -ság, -ár suffixes).
The result is a language that feels weighty, dynastic, and fortress-edged.

===================================================================================
RANK | ENGLISH       | NORDAL RUSSIAN          | ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | sŭ                      | OCS sŭ (the/this, def. particle)
2    | a / an        | jedŭ                    | OCS jedinŭ (one/a) stylized
6    | it            | to                      | OCS/Pol. to (it/that) — attested
14   | this          | sije                    | OCS sije (this) — attested
38   | what          | czto                    | OCS čŭto + Polish cz- (what)
45   | who           | kŭto                    | OCS kŭto (who) — attested
63   | your          | tvoje                   | OCS tvoje (your/thine) — attested
85   | our           | naše                    | OCS naše (our) — attested
99   | us            | namŭ                    | OCS namŭ (to us/us) — attested

--- BEING / EXISTENCE ---
2    | be / is / are | byti                    | OCS byti (to be) — attested
70   | there         | tamŭ                    | OCS/Pol. tam (there) — attested
72   | seem          | mniti sę                | OCS mniti sę (to seem/appear) stylized
78   | think         | mysliti                 | OCS mysliti (to think) — attested

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | ot                      | OCS otŭ (of/from) — attested
5    | and           | i                       | OCS i (and) — attested
12   | not           | ne                      | OCS ne (not) — attested
13   | on            | na                      | OCS na (on/upon) — attested
14   | with          | sŭ                      | OCS sŭ (with/together) — attested
21   | but           | nŭ                      | OCS nŭ (but/however) — attested
23   | by            | prĭ                     | OCS pri (by/at/near) — attested
24   | from          | otŭ                     | OCS otŭ (from) — attested
30   | or            | ili                     | OCS ili (or) — attested
32   | into          | vŭ                      | OCS vŭ (in/into) — attested
43   | if            | ašte                    | OCS ašte (if) — attested
44   | about         | o                       | OCS o (about/concerning) — attested
60   | because       | jaže                    | OCS jaže (because/which) stylized
71   | only          | tŭkŭmo                  | OCS tŭkŭmo (only/just) — attested
82   | also          | takože                  | OCS takože (also/likewise) — attested
83   | after         | po                      | OCS po (after/along) — attested
90   | even          | daže                    | OCS daže (even/as far as) — attested
