STONEGUARD TOLTEC-JAPANESE - 500 Common Word Translations
Fantasy Language based on StoneguardToltec name patterns
Linguistic roots: Pre-Aztec Toltec / early Nahuatl (9th-12th c.) primary
with Medieval-to-Meiji Japanese (12th-19th c.) secondary
Stylization: Fantasy-leaning, consistent feel prioritized.

KEY SOURCE WORDS (Toltec/early Nahuatl):
  Nahuatl: tl- cluster (characteristic), -tl (absolutive suffix),
  tetl (stone/rock), atl (water), tlitl (fire), tlalli (earth),
  ilhuicatl (sky), tonalpohualli (day-count/calendar), metztli (moon),
  citlalin (star), tlahtoa (speak), itta (see), yauh (go), huitz (come),
  mati (know), maca (give), cui (take), chichi (dog), coatl (serpent),
  quetzal (precious feather/bird), tolteca (master craftsperson),
  teotl (god/divine force), nahuatl (clear sound/language),
  ollin (movement), tonal (day-soul/spirit), calli (house),
  xochitl (flower), yolotl (heart), tlacatl (person/man),
  huey (great/big), qualli (good), nelli (true)

KEY SOURCE WORDS (Medieval-Meiji Japanese):
  wa/ware (I/me), nanji (you), kare (he), kanojo (she), wareware (we),
  to (and/with), ga (subject marker), no (of/possessive), ni (at/in),
  de (by/at), kara (from), made (until), mo (also/even), ka (question),
  aru (be/exist), suru (do), iku (go), kuru (come), miru (see),
  iu/yuu (say), shiru (know), ageru (give), toru (take), aruku (walk),
  hito (person), onna (woman), ko/kodomo (child), ou/kimi (king/lord),
  tsuchi (earth), hi (fire), mizu (water), sora (sky), hi (day),
  tsuki (moon), hoshi (star), oki (great), yoi (good), makoto (true)

PHONETIC BRIDGE STRATEGY:
  Nahuatl: tl- initial/final cluster, -tl absolutive, -lli/-lli-tl,
  open a/e/i/o vowels, compound words (noun+noun+tl)
  Japanese: CV open syllables, -shi/-chi/-tsu affricates, -ru verb ending,
  compound kanji-style stacking, honorific prefixes (o-, go-)
  Bridge: Both share open vowel syllables, CV structure, k/t/s sounds,
  compound word-building, and absence of consonant clusters (except Nahuatl tl-)
  Fantasy suffix system: -tli (noun, fr. Nahuatl absolutive -tl + -i),
  -yaru (verb, fr. Japanese -ru + Nahuatl ya-), -olli (adj/quality, fr.
  Nahuatl ollin = movement + Japanese -i adj ending), -tonal (spirit/place,
  fr. Nahuatl tonal = day-soul), -shi (secondary verb, fr. Japanese -shi adj)

===================================================================================
RANK | ENGLISH       | STONEGUARD              | ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | tletl                   | Nah. tletl (that/the fire-stone) stylized
2    | a / an        | centli                  | Nah. cen (one/a) + -tli
3    | to            | yayaru                  | Nah. ya (go/to) + Jpn. -yaru
6    | it            | yotonal                 | Nah. yo (it/there) + -tonal
8    | that          | nontli                  | Nah. non (that) + -tli
10   | it            | yotonal                 | same
11   | for           | ipampatli               | Nah. ipampa (for/because) + -tli
14   | this          | initli                  | Nah. in (this/the) + -itli
20   | this          | initli                  | same
22   | his           | iyaolli                 | Nah. iyo (his/her) + -olli
28   | her           | iyaolli                 | same — Nahuatl gender-neutral
29   | she           | quenami                 | Nah. quenami (she/like) stylized
31   | an            | centli                  | same as a
34   | one           | ceyolli                 | Nah. ce (one) + -yolli
35   | all           | mochitli                | Nah. mochi (all/every) + -tli
37   | there         | ompatonal               | Nah. ompa (there) + -tonal
38   | their         | innolli                 | Nah. inn (their) + -olli
39   | what          | tleintli                | Nah. tlein (what) + -tli
45   | who           | aquintli                | Nah. aquin (who) + -tli
49   | me            | nechtli                 | Nah. nech (me/to me) + -tli
50   | when          | quenmantli              | Nah. quenman (when) + -tli
55   | no            | ahmolli                 | Nah. ahmo (no/not) + -olli
63   | your          | motonal                 | Nah. mo (your) + -tonal
64   | good          | quallioshi              | Nah. qualli (good) + Jpn. -oshi
65   | some          | occentli                | Nah. occe (some/another) + -tli
69   | other         | occentolli              | Nah. occe (other) + -tolli
83   | two           | ometli                  | Nah. ome (two) + -tli
85   | our           | totonal                 | Nah. to (our) + -tonal
95   | these         | inehtli                 | Nah. ineh (these) + -tli
99   | us            | technolli               | Nah. tech (us/to us) + -nolli
120  | got           | quihuiyaru              | Nah. quihuiya (got/brought) + -yaru

--- BEING / EXISTENCE ---
2    | be / is / are | yezquyaru               | Nah. yez (to be/will be) + -quyaru
70   | there         | ompatonal               | same as there
72   | seem          | iximatiyaru             | Nah. iximati (to seem/know face) + -yaru
78   | think         | nemilyaru               | Nah. nemil (to think/live) + -yaru

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | itlatli                 | Nah. itla (of/something) + -tli
5    | and           | yoantli                 | Nah. yoan (and/also) + -tli
12   | not           | ahmolli                 | Nah. ahmo (not) + -olli
13   | on            | ixpanatli               | Nah. ixpan (on/before) + -atli
