SUNBLADE GREEK - 500 Common Word Translations
Fantasy Language based on SunbladeGreek name patterns
Linguistic roots: Mix of Homeric Greek (8th-6th c. BC), Classical Attic (5th-4th c. BC),
and Koine (Hellenistic, 4th c. BC - 4th c. AD)
Attested Greek words used throughout; era noted where relevant.

KEY SOURCE WORDS:
  Homeric: ἀνήρ/anēr (man), γυνή/gynē (woman), παῖς/pais (child), γαῖα/gaia (earth),
  ὕδωρ/hydōr (water), πῦρ/pyr (fire), οὐρανός/ouranos (sky), ἠώς/ēōs (dawn),
  ἥλιος/hēlios (sun), σελήνη/selēnē (moon), ἄστρον/astron (star), θάλασσα/thalassa (sea)
  Classical: λόγος/logos (word/reason), πόλις/polis (city), ἀρετή/aretē (virtue),
  νόμος/nomos (law), δῆμος/dēmos (people), φιλία/philia (friendship/love),
  σοφία/sophia (wisdom), ἀλήθεια/alētheia (truth), καλός/kalos (beautiful/good)
  Koine: εἰρήνη/eirēnē (peace), χάρις/charis (grace/joy), ζωή/zōē (life),
  πίστις/pistis (faith/trust), ἀγάπη/agapē (love), κόσμος/kosmos (world/order)

NOTE: Sunblade uses the Romanized phonetic forms throughout for fantasy usability.
Greek's characteristic features preserved: aspirated stops (ph, th, kh),
long/short vowel pairs (a/ā, e/ē, o/ō), the -os/-on/-ē/-is noun endings,
and the characteristic prefix system (a-, ana-, apo-, dia-, epi-, kata-, syn-).
Name list patterns: -polis, -ion, -os, -is, -eia, -aia — all canonical Greek endings.

===================================================================================
RANK | ENGLISH       | SUNBLADE GREEK          | GREEK ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | ho / hē / to            | Ancient Greek definite article — attested
2    | a / an        | tis                     | Gk. τις (a certain/one) — attested
6    | it            | auto                    | Gk. αὐτό (it/itself) — attested
14   | this          | touto                   | Gk. τοῦτο (this) — attested
38   | what          | ti                      | Gk. τί (what) — attested
45   | who           | tis                     | Gk. τίς (who) — attested
63   | your          | son                     | Gk. σόν (your/thine) — attested
85   | our           | hēmōn                   | Gk. ἡμῶν (our/of us) — attested
99   | us            | hēmas                   | Gk. ἡμᾶς (us) — attested

--- BEING / EXISTENCE ---
2    | be / is / are | einai                   | Gk. εἶναι (to be) — attested
70   | there         | ekei                    | Gk. ἐκεῖ (there) — attested
72   | seem          | phainesthai             | Gk. φαίνεσθαι (to seem/appear) — attested
78   | think         | noein                   | Gk. νοεῖν (to think/perceive) — attested

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | tou / tēs               | Gk. genitive article (of) — attested
5    | and           | kai                     | Gk. καί (and) — attested
12   | not           | ou / mē                 | Gk. οὐ/μή (not) — attested
13   | on            | epi                     | Gk. ἐπί (on/upon) — attested
14   | with          | syn                     | Gk. σύν (with/together) — attested
21   | but           | alla                    | Gk. ἀλλά (but) — attested
23   | by            | hypo                    | Gk. ὑπό (by/under) — attested
24   | from          | apo                     | Gk. ἀπό (from/away) — attested
30   | or            | ē                       | Gk. ἤ (or) — attested
32   | into          | eis                     | Gk. εἰς (into/toward) — attested
43   | if            | ei                      | Gk. εἰ (if) — attested
44   | about         | peri                    | Gk. περί (about/around) — attested
