SYLVARIRUM NAVAJO - 500 Common Word Translations
Fantasy Language based on SylvarirumNavajo name patterns
Linguistic roots: Diné bizaad (Navajo) — real roots with constructed fill
Attested Navajo words used where possible; constructed Navajo-pattern words fill gaps.

KEY SOURCE WORDS (Diné bizaad / Navajo):
  nizhóní (beautiful/good), hózhó (harmony/beauty/balance), shí (I/my),
  nił (with you), diné (people/person), dinétah (homeland), nahasdzáán (earth),
  yádiłhił (sky), jį́ (day), tł'ęę' (night), tó (water), kǫ' (fire),
  tsé (rock/stone), dzil (mountain), tsin (wood/tree), niyol (wind),
  chizh (firewood), ałhą́ą́' (together), haa (how/what), haash (what is it),
  shijéí (my heart), bił (with it), naaki (two), tááʼ (three), dįʼ (four),
  ashdlaʼ (five), hashtł'ish (mud), dził (mountain — variant)

NOTE: Navajo is a tonal, polysynthetic language. Tones (high/low) are marked
with accent: á (high), a (low). Nasalization marked with ą. Glottal stop = ʼ.
In Sylvarirum, tones are softened for fantasy use but phonemic shapes preserved.
Constructed words follow Navajo phonotactics: CV, CVC, CCVC patterns with
characteristic consonants: zh, sh, ts, tł, dz, gh, hw, kw, łʼ.

===================================================================================
RANK | ENGLISH       | SYLVARIRUM NAVAJO       | NAVAJO ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | shi                     | Nav. shi- (the/my — definiteness marker)
2    | a / an        | la                      | Nav. la (one/a certain)
6    | it            | bił                     | Nav. bi- (it/its) + ł
14   | this          | dii                     | Nav. díí (this) — attested
38   | what          | haa                     | Nav. haa (what/how) — attested
45   | who           | haash                   | Nav. haash (who/what is) — attested
63   | your          | ni                      | Nav. ni- (your/you) — attested
85   | our           | nihił                   | Nav. nihi- (our/we) stylized
99   | us            | nihí                    | Nav. nihí (us/we) — attested

--- BEING / EXISTENCE ---
2    | be / is / are | hólǫ                    | Nav. hólǫ (there is/exists) — attested
70   | there         | aadi                    | Nav. aadi (there/over there) — attested
72   | seem          | yishłééh                | Nav. constructed fr. łééh (becoming)
78   | think         | nitsékees               | Nav. nitsékees (to think) — attested

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | bił                     | Nav. bi- (of/its) particle
5    | and           | dóó                     | Nav. dóó (and) — attested
12   | not           | doo                     | Nav. doo...da (not) — attested
13   | on            | bikáá                   | Nav. bikáá' (on top of) — attested
14   | with          | nił                     | Nav. nił (with you) — attested
21   | but           | ndi                     | Nav. ndi (but/however) — attested
23   | by            | bił                     | Nav. bi- (by/with it)
24   | from          | biih                    | Nav. biih (into/from) stylized
30   | or            | éí doodaii              | Nav. éí doodaʼii (or/either) stylized
32   | into          | góneʼ                   | Nav. góne' (inside/into) — attested
43   | if            | dishniigo               | Nav. constructed fr. -go (if/when clause)
44   | about         | baa                     | Nav. baa (about/concerning) — attested
60   | because       | háálá                   | Nav. háálá (because) — attested
71   | only          | tʼáá                    | Nav. tʼáá (just/only) — attested
82   | also          | altso                   | Nav. altso (all/also/together) stylized
83   | after         | bizhiʼ                  | Nav. constructed fr. -zhiʼ (after/behind)
90   | even          | nidi                    | Nav. nidi (even/although) — attested
95   | these         | díídii                  | Nav. díí plural stylized
