VERDATHI ABORIGINAL - 500 Common Word Translations
Fantasy Language based on VerdathiAboriginal name patterns
(Phonetic patterns derived from: Adjungbilly, Bunjil, Cooinda, Cooee, Gundagai,
 Gurulmundi, Iluka, Indooroopilly, Uluru, Wollongong, Yuin, Boorabin, Kurrajong, etc.)

NOTE: Where no direct Aboriginal equivalent exists, words are constructed using
attested phonemic patterns: open vowels (a, i, u, oo), consonant clusters (ng, lj, mb,
nd, rr, wl), and characteristic suffixes (-indi, -ulla, -amba, -oora, -inga, -urru).

===================================================================================
RANK | ENGLISH       | VERDATHI ABORIGINAL     | NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | ngaa                    | definite marker
2    | a / an        | bul                     | indefinite marker
6    | it            | yindi                   | neutral pronoun
14   | this          | ngulli                  | near demonstrative
38   | what          | wunna                   | interrogative
45   | who           | yuurra                  | person interrogative
63   | your          | nginda                  | 2nd person possessive
64   | good          | coinda                  | (fr. Cooinda - "happy place")
85   | our           | ngambil                 | 1st person plural possessive
99   | us            | ngambi                  | 1st person plural object

--- BEING / EXISTENCE ---
2    | be / is / are | booroo                  | to exist, to be
70   | there         | indjal                  | existential locative
72   | seem          | woorinda                | to appear to be
78   | think         | mulya                   | to consider, believe

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | ulla                    | possessive/relational particle
5    | and           | yarra                   | connector
12   | not           | wurra                   | negation particle
13   | on            | ngurra                  | surface position
14   | with          | bimba                   | together-with
21   | but           | durroo                  | contrast particle
23   | by            | djurra                  | proximity/agent particle
24   | from          | gundoo                  | origin particle
30   | or            | gaali                   | alternation particle
32   | into          | goolba                  | inward motion
43   | if            | warrul                  | conditional particle
44   | about         | bulindi                 | topic/concerning particle
60   | because       | wullari                 | causal connector
71   | only          | djinba                  | limiting particle
82   | also          | yulnga                  | additive particle
83   | after         | ngurroo                 | following, after
90   | even          | boorindi                | emphatic/inclusive particle
95   | these         | ngullima                | near plural demonstrative
120  | until         | burrandoo               | (fr. Burrandong) until, up to
154  | soon          | yandoo                  | near-future marker
172  | since         | booranda                | temporal since
183  | against       | marruwa                 | opposing
192  | during        | warramba                | within a time period
219  | toward        | gulinda                 | directional particle
222  | against       | burroong                | opposing force
251  | still         | coola                   | (fr. Coolah) continuing state
261  | above         | indjurra                | above, over
287  | behind        | wombala                 | behind, following
303  | about         | bulinda                 | approximately, concerning
332  | yes           | owwa                    | (fr. Cooee - affirmative call)
338  | yet           | ngarroo                 | contrast temporal
339  | among         | yulimba                 | within a group
340  | perhaps       | moolinda                | possibility marker
451  | shall         | gooroo                  | future obligation marker
457  | either        | djirroo                 | one-or-the-other
488  | else          | murroo                  | other/different
490  | quite         | djirrin                 | degree marker (fully)

--- VERBS: CORE ACTIONS ---
7    | do            | bimbal                  | to perform/act
9    | have          | ngulla                  | to hold/possess
18   | say           | cooba                   | to speak (fr. Cooee)
27   | say           | cooba                   | (same)
47   | get           | wulba                   | to obtain
51   | make          | djirramba               | to create/construct
52   | can           | yurra                   | to be able
53   | like          | cooinda                 | to enjoy (fr. Cooinda)
56   | know          | mulunba                 | to understand
57   | take          | garna                   | to take/grasp
59   | see           | mirroo                  | to see/observe
