VETHANIRUM - 500 Common Word Translations
Fantasy Language based on Vethanirum name patterns
Linguistic roots: Medieval Catalan (Crown of Aragon era, 12th-15th c.)
with light Occitan and Old Italian flavoring
Stylization: Catalan roots processed through a consistent Vethanirum
suffix/affix system — similar approach to SolarirumFrench.

KEY SOURCE WORDS (Medieval Catalan):
  lo/la/els (the), un/una (a), ésser/ser (to be), haver (to have),
  fer (to do/make), dir (to say), veure (to see), anar (to go),
  venir (to come), saber (to know), voler (to want), donar (to give),
  tenir (to hold), sentir (to feel), parlar (to speak), home (man),
  dona (woman), fill (son), infant (child), gent (people), rei (king),
  terra (earth), foc (fire), aigua (water), cel (sky), dia (day),
  nit (night), gran (great), bo/bona (good), ver/vera (true)

STYLIZATION RULES FOR VETHANIRUM:
  Nouns take suffix -eth (thing/place) or -ara (living being/abstract)
  Verbs take suffix -eïr (infinitive) or -ar (action form)
  Adjectives take suffix -el (quality marker) or -orn (state of being)
  Particles/prepositions remain short and close to medieval Catalan roots
  Characteristic sounds: soft -th, -rn, -el, -ara, -eïr, -orn
  Prefix vel- (from name list: Velindre) marks elevated/formal register

===================================================================================
RANK | ENGLISH       | VETHANIRUM              | CATALAN ROOT / NOTES
===================================================================================

--- ARTICLES & PRONOUNS ---
1    | the           | loth                    | Cat. lo/la + -th marker
2    | a / an        | uneth                   | Cat. un/una + -eth
3    | to            | aveïr                   | Cat. a (to) + -eïr
6    | it            | elho                    | Cat. ell/ho (it/he) stylized
8    | that          | aqueth                  | Cat. aquell (that) + -eth
10   | it            | elho                    | same as above
11   | for           | pereth                  | Cat. per (for) + -eth
14   | this          | aqueth                  | Cat. aquest (this) stylized
20   | this          | aqueth                  | same
22   | his           | seuel                   | Cat. seu (his) + -el
28   | her           | seuel                   | Cat. seu (her — same form) + -el
29   | she           | elhorn                  | Cat. ella (she) + -orn
31   | an            | uneth                   | same as a
34   | one           | unsol                   | Cat. un sol (one single) stylized
35   | all           | toteth                  | Cat. tot (all) + -eth
37   | there         | alaeth                  | Cat. allà (there) + -eth
38   | their         | loreth                  | Cat. llur (their) + -eth
39   | what          | queth                   | Cat. que/quin (what) + -eth
45   | who           | quieth                  | Cat. qui (who) + -eth
49   | me            | mieth                   | Cat. mi (me) + -eth
50   | when          | quaneth                 | Cat. quan (when) + -eth
55   | no            | noneth                  | Cat. no (no) + -eth
63   | your          | vostrel                 | Cat. vostre (your) + -el
64   | good          | boneth                  | Cat. bo/bona (good) + -eth
65   | some          | algeth                  | Cat. algun (some) + -eth
85   | our           | nostrel                 | Cat. nostre (our) + -el
95   | these         | aquestel                | Cat. aquests (these) + -el
99   | us            | noseth                  | Cat. nos (us) + -eth

--- BEING / EXISTENCE ---
2    | be / is / are | esseïr                  | Cat. ésser (to be) + -eïr
70   | there         | alaeth                  | same as there above
72   | seem          | sembleïr                | Cat. semblar (to seem) + -eïr
78   | think         | cuideïr                 | Cat. cuidar (to think/believe) + -eïr

--- PREPOSITIONS & CONJUNCTIONS ---
4    | of            | deth                    | Cat. de (of) + -th
5    | and           | eth                     | Cat. e/i (and) + -th
12   | not           | noneth                  | Cat. no (not) + -eth
